name,kana,romaji
勝忠,かつただ,katsutada
勝年,かつとし,katsutoshi
勝直,かつなお,katsunao
克乃,かつの,katsuno
勝敬,かつのり,katsunori
克憲,かつのり,katsunori
勝治,かつはる,katsuharu
勝尚,かつひさ,katsuhisa
雄仁,かつひと,katsuhito
勝仁,かつひろ,katsuhiro
巧宗,かつひろ,katsuhiro
克闊,かつひろ,katsuhiro
勝雅,かつまさ,katsumasa
克弥,かつみ,katsumi
克美,かつみ,katsumi
克己,かつみ,katsumi
勝基,かつもと,katsumoto
克弥,かつや,katsuya
雄行,かつゆき,katsuyuki
香津代,かつよ,katsuyo
佳代,かつよ,katsuyo
克良,かつよし,katsuyoshi
勝朗,かつろう,katsurou
一恵,かづえ,kazue
花月,かづき,kazuki
かづ子,かづこ,kazuko
佳積,かづみ,kazumi
歌名,かな,kana
哉,かな,kana
佳菜,かな,kana
佳那,かな,kana
叶,かなう,kanau
華苗,かなえ,kanae
奏衣,かなえ,kanae
佳苗,かなえ,kanae
加奈絵,かなえ,kanae
加那恵,かなえ,kanae
夏菜子,かなこ,kanako
兼奈子,かなこ,kanako
香茄子,かなこ,kanako
かな子,かなこ,kanako
可菜子,かなこ,kanako
かなで,かなで,kanade
伽奈未,かなみ,kanami
香奈実,かなみ,kanami
佳那美,かなみ,kanami
奏,かなめ,kaname
香奈理,かなり,kanari
佳南,かなん,kanan
金明,かねあき,kaneaki
金夫,かねお,kaneo
兼子,かねこ,kaneko
兼重,かねしげ,kaneshige
兼稔,かねとし,kanetoshi
兼信,かねのぶ,kanenobu
謙英,かねひで,kanehide
金弘,かねひろ,kanehiro
兼康,かねやす,kaneyasu
鐘義,かねよし,kaneyoshi
鹿乃,かの,kano
叶子,かのこ,kanoko
カノ子,かのこ,kanoko
花音,かのん,kanon
樺音,かのん,kanon
華穂,かほ,kaho
佳帆,かほ,kaho
華歩,かほ,kaho
香帆里,かほり,kahori
香穂里,かほり,kahori
佳穂理,かほり,kahori
構江,かまえ,kamae
紙子,かみこ,kamiko
亀男,かめお,kameo
かめの,かめの,kameno
香也,かや,kaya
佳也,かや,kaya
夏弥子,かやこ,kayako
佳也子,かやこ,kayako
歌代,かよ,kayo
香予,かよ,kayo
佳代,かよ,kayo
圭世,かよ,kayo
華世子,かよこ,kayoko
香陽子,かよこ,kayoko
夏代子,かよこ,kayoko
カヨ子,かよこ,kayoko
加誉子,かよこ,kayoko
香代美,かよみ,kayomi
果理,かり,kari
香利奈,かりな,karina
華鈴,かりん,karin
果麟,かりん,karin
香澪,かれい,karei
カレン,かれん,karen
瓦,かわら,kawara
艦,かん,kan
寛一,かんいち,kanichi
寛九郎,かんくろう,kankurou
勘吾,かんご,kango
幹司,かんじ,kanji
完嗣,かんじ,kanji
敢司,かんじ,kanji
観誓,かんせい,kansei
幹太,かんた,kanta
勘太,かんた,kanta
神菜,かんな,kanna
貫奈,かんな,kanna
完菜,かんな,kanna
勘兵衛,かんべえ,kanbee
閑良夫,かんらお,kanrao
岳,がく,gaku
鵞峰,がほう,gahou
頑太,がんた,ganta
己一,きいち,kiichi
希一,きいち,kiichi
麒一郎,きいちろう,kiichirou
紀絵,きえ,kie
貴恵,きえ,kie
キヱ,きえ,kie
希江,きえ,kie
貴映子,きえこ,kieko
キエ子,きえこ,kieko
季可,きか,kika
季吟,きぎん,kigin
きく,きく,kiku
菊衛,きくえ,kikue
きくゑ,きくえ,kikue
希久枝,きくえ,kikue
菊男,きくお,kikuo
喜久雄,きくお,kikuo
起久子,きくこ,kikuko
貴久子,きくこ,kikuko
紀久子,きくこ,kikuko
菊造,きくぞう,kikuzou
菊野,きくの,kikuno
菊文,きくふみ,kikufumi
規久美,きくみ,kikumi
喜久代,きくよ,kikuyo
紀子,きこ,kiko
貴紗,きさ,kisa
季紗恵,きさえ,kisae
喜左久,きさく,kisaku
紀三郎,きさぶろう,kisaburou
希沙良,きさら,kisara
岸雄,きしお,kishio
規之子,きしこ,kishiko
基志子,きしこ,kishiko
紀信,きしん,kishin
希世子,きせこ,kiseko
紀三,きぞう,kizou
希太子,きたこ,kitako
吉右衛門,きちえもん,kichiemon
吉蔵,きちぞう,kichizou
吉郎,きちろう,kichirou
喜導,きどう,kidou
絹,きぬ,kinu
きぬ江,きぬえ,kinue
衣子,きぬこ,kinuko
甲子雄,きねお,kineo
き乃,きの,kino
貴八郎,きはちろう,kihachirou
喜兵衛,きへえ,kihee
起己,きみ,kimi
紀弥,きみ,kimi
希美,きみ,kimi
公昭,きみあき,kimiaki
君栄,きみえ,kimie
記美恵,きみえ,kimie
后恵,きみえ,kimie
喜美絵,きみえ,kimie
希己枝,きみえ,kimie
希未瑛,きみえ,kimie
君郎,きみお,kimio
喜三生,きみお,kimio
紀美生,きみお,kimio
貴美佳,きみか,kimika
亀美子,きみこ,kimiko
妃見子,きみこ,kimiko
王子,きみこ,kimiko
幾美子,きみこ,kimiko
侯隆,きみたか,kimitaka
公成,きみなり,kiminari
公範,きみのり,kiminori
君彦,きみひこ,kimihiko
公広,きみひろ,kimihiro
公哉,きみや,kimiya
君代,きみよ,kimiyo
きみ代,きみよ,kimiyo
起美代,きみよ,kimiyo
九,きゅう,kyuu
玖虎,きゅうご,kyuugo
灸三,きゅうぞう,kyuuzou
喜遊,きゆう,kiyuu
教一,きょういち,kyouichi
教一郎,きょういちろう,kyouichirou
鏡華,きょうか,kyouka
享香,きょうか,kyouka
恭加,きょうか,kyouka
矯子,きょうこ,kyouko
景織子,きょうこ,kyouko
けふこ,きょうこ,kyouko
供子,きょうこ,kyouko
恭司,きょうし,kyoushi
恭史郎,きょうしろう,kyoushirou
恭史,きょうじ,kyouji
恭祐,きょうすけ,kyousuke
教宣,きょうせん,kyousen
喬太郎,きょうたろう,kyoutarou
馨乃,きょうの,kyouno
喬平,きょうへい,kyouhei
暁矢,きょうや,kyouya
許慎,きょしん,kyoshin
起代,きよ,kiyo
喜世,きよ,kiyo
規代明,きよあき,kiyoaki
清絵,きよえ,kiyoe
清惠,きよえ,kiyoe
きよ江,きよえ,kiyoe
紀代江,きよえ,kiyoe
清加,きよか,kiyoka
喜代香,きよか,kiyoka
清計,きよかず,kiyokazu
清公,きよきみ,kiyokimi
亀代子,きよこ,kiyoko
湛子,きよこ,kiyoko
企予子,きよこ,kiyoko
記代子,きよこ,kiyoko
渙,きよし,kiyoshi
清視,きよし,kiyoshi
清,きよし,kiyoshi
喜吉,きよし,kiyoshi
貴代志,きよし,kiyoshi
清重,きよしげ,kiyoshige
清澄,きよずみ,kiyozumi
